id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,age,gender,edu,income,marital_status,religion, employment,employment_condition
124,4,4,4,4,3,4,2,2,2,3,2,3,2,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,1,5,5,2,
125,4,4,4,4,3,4,2,2,2,3,2,3,2,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,3,1,3,1,2,5,2,
126,4,4,4,3,5,3,3,2,3,1,3,2,4,3,4,3,3,3,4,4,4,3,2,3,3,3,3,3,2,2,4,3,1,1,1,4
127,2,3,2,3,2,1,4,4,4,3,3,4,3,2,3,3,2,3,2,2,2,2,2,2,3,3,3,3,1,1,2,3,1,2,1,3
128,2,2,2,2,2,2,4,4,3,3,3,3,3,2,3,3,3,4,4,4,4,2,3,3,2,3,2,2,2,2,3,2,1,3,1,3
129,2,3,2,2,2,2,3,4,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,3,2,1,2,1,3
130,2,2,2,2,2,2,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,2,4,4,4,3,4,3,2,4,3,2,2,1,3
131,3,4,3,3,3,2,3,3,3,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,3,4,1,3
132,4,4,4,4,3,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,3,1,4,1,1,1,1,2
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,5,1,1,3
134,2,3,3,3,3,4,4,4,4,4,4,3,2,2,2,2,3,2,2,2,3,3,2,3,3,3,2,2,1,2,4,2,1,2,1,3
135,3,3,3,2,3,4,4,3,4,3,4,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,1,2,3,4,1,1,1,2
136,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,3,3,2,2,1,2,4,3,1,2,1,2
137,2,2,2,2,4,2,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,5,1,2,2,
138,3,3,3,2,2,4,3,3,3,3,4,2,2,2,3,4,4,3,3,3,4,4,4,3,4,3,3,3,3,2,3,2,1,1,1,2
139,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,5,1,2,1,2
140,1,1,1,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,5,1,2,1,1
141,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,
142,4,4,2,3,2,4,2,1,3,2,2,1,1,2,3,2,2,2,4,2,1,2,1,1,2,1,2,2,2,2,4,2,1,3,1,2
143,4,4,4,2,4,4,3,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,1,2,4,3,1,2,1,2
144,2,3,2,2,2,3,3,3,3,4,3,4,3,4,3,3,3,3,4,4,3,3,2,4,3,4,3,3,2,2,3,3,1,4,1,2
145,2,2,3,2,3,2,3,2,3,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,3,4,3,3,1,2,3,3,5,1,1,1
146,2,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,4,4,4,4,4,3,3,2,2,3,3,2,3,2,1,1,1,2
147,2,2,2,2,2,3,4,3,4,4,4,2,3,3,3,4,4,3,4,3,4,2,4,2,3,3,4,4,1,2,3,2,1,3,1,2
148,2,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,2,3,3,4,2,1,2
149,2,2,2,2,2,3,3,3,3,4,4,2,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,1,2,3,3,1,3,1,2
150,5,5,5,5,2,1,2,2,3,3,3,3,3,3,3,4,2,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,1,1,1,4
151,2,2,2,2,2,2,3,4,3,4,4,3,3,3,4,4,3,3,4,4,4,4,3,3,3,4,4,4,1,2,3,3,1,3,1,2
152,2,2,2,2,2,2,3,4,3,4,4,3,3,3,4,4,3,3,4,4,4,4,3,3,3,4,4,4,3,2,3,4,1,1,1,1
153,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,,2,1,1,1,2
